name	"<a href='http://goo.gl/oEwdMT'>Swift J1644+57</a>"
host	"<a href='http://adsabs.harvard.edu/abs/2011Sci...333..199L'>Swift J164449.3+573451</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/2011Sci...333..203B'>Bloom et al. 2011</a>*&Dagger;"
instruments	"Swift (BAT, UVOT&Dagger;, XRT), CARMA, SMA, HST, VLA, NVSS&Dagger;, FIRST&Dagger;, AMI Large Array, OVRO, WISE&Dagger;, MMT*, GMOS*, Keck*"
redshift	"0.3543"
claimedtype	"MS + SMBH"
notes	""
