name	"<a href='http://goo.gl/rSZvwy'>Swift J2058+05</a>"
host	"Swift J205819.7+051329"
citations	"<a href='http://adsabs.harvard.edu/abs/2012ApJ...753...77C'>Cenko et al. 2012</a>*&Dagger;"
instruments	"Swift (BAT, XRT), La Silla (g',r',i',z',J&Dagger;,H&Dagger;,K&Dagger;), Keck"
redshift	"1.1853"
claimedtype	"TDE"
notes	""
