name	"2MASX J0203"
host	"<a href='http://goo.gl/SwQpJv'>2MASX J02030314&#8209;0741514</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/2007A%26A...462L..49E'>Esquej et al. 2007</a>*&Dagger;"
instruments	"2MASS, XMM-Newton, ROSAT"
redshift	"0.0615"
claimedtype	"TDE"
notes	"Star-forming host, possibly pre-TDE AGN"
