name	"NGC 2110"
host	"<a href='http://goo.gl/hnYzAb'>NGC 2110</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/2007ApJ...668L..31M'>Moran et al. 2007</a>*"
instruments	"Keck (LRIS), HST (STIS)"
redshift	"0.007579"
claimedtype	"No claim"
notes	"Transient \({\rm H}\alpha\) feature"
