name	"NGC 1097"
host	"<a href='http://goo.gl/2Wr8lv'>NGC 1097</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/1995ApJ...443..617S'>Storchi-Bergmann et al. 1995</a>*&Dagger;"
instruments	"CTIO, Shane"
redshift	"0.0042"
claimedtype	"Giant + SMBH"
notes	"BH mass precludes MS disruption"
