name	"SDSS J1342"
host	"<a href='http://goo.gl/iXsdlF'>SDSS J134244.41+053056.1</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/2012ApJ...749..115W'>Wang et al. 2012</a>*&Dagger;"
instruments	"SDSS"
redshift	"0.0366"
claimedtype	"TDE"
notes	""
