name	"RX J1420+53"
host	"<a href='http://goo.gl/MC1jIc'>RX J1420.4+5334</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/2000A%26A...362L..25G'>Greiner et al. 2000</a>*&Dagger;"
instruments	"ROSAT, Special Astrophysical Observatory (V&Dagger;), Sonneberg (white&Dagger;), WIYN (R&Dagger;, B&Dagger;), Calar Alto*"
redshift	"0.147"
claimedtype	"TDE"
notes	""
