name	"2MASX J0249"
host	"<a href='http://goo.gl/Q223J6'>2MASX J02491731&#8209;0412521</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/2007A%26A...462L..49E'>Esquej et al. 2007</a>*&Dagger;"
instruments	"2MASS, XMM-Newton, ROSAT"
redshift	"0.0186"
claimedtype	"TDE"
notes	"Star-forming host, possibly pre-TDE AGN"
