name	"NGC 247"
host	"<a href='http://goo.gl/oYXebN'>NGC 247</a>"
citations	"<a href='http://goo.gl/pde8py'>Feng et al. 2015</a>*&Dagger;"
instruments	"XMM-Newton, Swift, Chandra"
redshift	"0.000531"
claimedtype	"Low-mass TDE"
notes	"Possibly LMXB"
